Articul,Name,URL,Price,Promo Price,Brand
573871,"Вода Tassay питьевая газированная, 1.5л",https://online.metro-cc.ru/products/tassay-prirodnaya-gazirovannaya-pet-15l,74.9,,TASSAY
147455,"aro Вода питьевая газированная, 1.5л",https://online.metro-cc.ru/products/aro-gazirovannaya-15l,32.99,,ARO
45088,"Вода Mever природная минеральная негазированная, 500мл",https://online.metro-cc.ru/products/mever-bez-gaza-05-l,41.5,,MEVER
566299,"Вода Черноголовка детская негазированная, 1.5л",https://online.metro-cc.ru/products/art_566299,47.49,,ЧЕРНОГОЛОВКА
312311,"aro Вода минеральная питьевая газированная, 500мл",https://online.metro-cc.ru/products/aro-mineralnaya-stolovaya-gazirovannaya-12h05-l,19.0,,ARO
128098,"Вода Святой Источник негазированная клубника, 1.5л",https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-klubnika-15l,78.9,,СВЯТОЙ ИСТОЧНИК
210560,"Вода Легенда гор Архыз негазированная, 500мл",https://online.metro-cc.ru/products/05l-voda-legenda-gor-arhyz-bg-pet-210560,37.99,,ЛЕГЕНДА ГОР АРХЫЗ
135140,"Вода Baikal Pearl негазированная, 530мл",https://online.metro-cc.ru/products/zhemchuzhina-bajkala-negazirovannaya-530ml,139.0,116.0,BAIKAL PEARL
212946,"Вода Сенежская негазированная, 3л",https://online.metro-cc.ru/products/3l-voda-senezhskaya-bg-pet-212946,61.9,,СЕНЕЖСКАЯ
202483,"Вода Rare родниковая негазированная, 330мл",https://online.metro-cc.ru/products/033l-voda-rare-rodnikovaya-bg-pet-202483,71.9,,RARE
623284,"Вода Ессентуки №4 минеральная лечебная газированная, 500мл",https://online.metro-cc.ru/products/essentuki-4-mineralnaya-lechebno-stolovaya-gazirovannaya-05-l-12-sht,56.9,,ЕССЕНТУКИ
456949,"Вода Бжни минеральная газированная, 1л",https://online.metro-cc.ru/products/bzhni-1l-456949,115.0,,БЖНИ
79861,"Вода Aqua Minerale Active питьевая цитрус негазированная, 500мл",https://online.metro-cc.ru/products/mineralnaya-aqua-minerale-citrus-05-l,76.9,64.9,AQUA MINERALE
129718,"Вода Черноголовка Бейби детская негазированная, 2.5л",https://online.metro-cc.ru/products/loson-nivea-sun-uvlazhnyayuschij-posle-zagara-s-aloe-vera-200ml,88.9,,ЧЕРНОГОЛОВКА
91730,"Вода Легенда гор Архыз негазированная, 1.5л",https://online.metro-cc.ru/products/bez-gaza-legenda-gor-arhyz-15l,60.9,,ЛЕГЕНДА ГОР АРХЫЗ
200953,"Вода BonaAqua газированная, 330мл",https://online.metro-cc.ru/products/033l-voda-bona-aqua-gaz-st-200953,76.9,62.9,BONAAQUA
456579,"Вода San Benedetto минеральная газированная, 750мл",https://online.metro-cc.ru/products/sanbenedetto-stolovaya-pityevaya-gazirovannaya-075-l,329.0,,SAN BENEDETTO
584739,"Вода Святой Источник негазированная со вкусом лимона, 500мл",https://online.metro-cc.ru/products/svyatoj-istochnik-limon-negazirovannaya-05-l,50.9,,СВЯТОЙ ИСТОЧНИК
480778,"Вода Калинов Родник негазированная, 1.5л",https://online.metro-cc.ru/products/kalinov-rodnik-negazirovannaya-15l,41.5,32.9,КАЛИНОВ РОДНИК
210563,"Вода Легенда гор Архыз газированная, 500мл",https://online.metro-cc.ru/products/05l-voda-legenda-gor-arhyz-gaz-pet-210563,37.99,,ЛЕГЕНДА ГОР АРХЫЗ
214958,"Вода Святой Источник со вкусом персика негазированная, 1.5л",https://online.metro-cc.ru/products/15l-voda-svyatoy-istochnik-so-vkusom-persika-bg-pet-214958,78.9,,СВЯТОЙ ИСТОЧНИК
615165,"Вода Tassay питьевая негазированная, 500мл",https://online.metro-cc.ru/products/tassay-negazirovannaya-st-b-05-l,93.9,,TASSAY
111721,"Напиток Borjomi Flavored с экстрактами цитрусов и корня имбиря газированный, 330мл",https://online.metro-cc.ru/products/napitok-borjomi-flavored-water-citrusovyj-miks-imbir-bez-sahara-330-ml-111721,92.9,,BORJOMI
511775,"Вода Sairme минеральная лечебно-столовая газированная, 500мл",https://online.metro-cc.ru/products/sairme-gazirovannaya-05-l,119.0,99.9,SAIRME
208644,"Вода Edis негазированная, 950мл",https://online.metro-cc.ru/products/095l-voda-edis-negaz-st-208644,251.0,,EDIS
202830,"Вода Mivela Mg++ минеральная лечебно-столовая негазированная, 1л",https://online.metro-cc.ru/products/1l-min-voda-mivela-lechebno-stolovaya-bg-202830,184.0,,MIVELA MG++
203722,"Вода Gletcher природная газированная, 1.5л",https://online.metro-cc.ru/products/15l-voda-prirodnaya-pitevaya-gletcher-gaz-pet-203722,262.0,,GLETCHER
